Time,39XA151,39XA152,39OUTAGE,39LI112A,39LI112B,39LI112C,39LI109A,39LI109B,39LI109C,39FI347,39FI123,39PI101,39PI994A,39PI995A,39PI180,39PI181,39PI111,39TI199,39TI203,39FC126,39FC127,39FC128,39FC129,39DI348,39FI115,39DI108,39DI111,39TC198,39TI198,39TI201,39FC145,84FC101,84FC105,84GOHAPI.B,39FI162,39CWGMW.B,39FC168,39SCNAPI.B,39FC116,39CDAPI.B,39FI125,39FC176,39HGOAPI.B,39FC170,13PI335,13TI139A,13TI139B,13TC172,13TI342,13VGO_CCR.B,AWBTOLCU.RD,BRNTOLCU.RD,BRSTOLCU.RD,CDBTOLCU.RD,CMMTOLCU.RD,FRATOLCU.RD,MHOTOLCU.RD,MSBTOLCU.RD,PSYTOLCU.RD,RLSTOLCU.RD,SHVTOLCU.RD,SYBTOLCU.RD,MSOTOLCU.RD,BHBTOLCU.RD,CBSTOLCU.RD,CDLTOLCU.RD,CHVTOLCU.RD,FRBTOLCU.RD,KDBTOLCU.RD,LLBTOLCU.RD,MSWTOLCU.RD,PDHTOLCU.RD,PXBTOLCU.RD,SLOPTOLCU.RD,SMATOLCU.RD,WCBTOLCU.RD,WCSTOLCU.RD,WDBTOLCU.RD,AWBTOSCU.RD,BRNTOSCU.RD,BRSTOSCU.RD,CDBTOSCU.RD,CMMTOSCU.RD,FRATOSCU.RD,MHOTOSCU.RD,MSBTOSCU.RD,PSYTOSCU.RD,RLSTOSCU.RD,SHVTOSCU.RD,SYBTOSCU.RD,MSOTOSCU.RD,BHBTOSCU.RD,CBSTOSCU.RD,CDLTOSCU.RD,CHVTOSCU.RD,FRBTOSCU.RD,KDBTOSCU.RD,LLBTOSCU.RD,MSWTOSCU.RD,PDHTOSCU.RD,PXBTOSCU.RD,SLOPTOSCU.RD,SMATOSCU.RD,WCBTOSCU.RD,WCSTOSCU.RD,WDBTOSCU.RD,39FC225,39FC226,39FC157A.O,39FC157A,39HC131.S,39FI156,39FC157B.O,39HC173O,39HC174O,39PI175,39TI127,39TI128,39TI169,39TI170,13DI189,13CSAPIG.B,14CSAPIG.B,39PI513,39PI522,39FC113,39TI104,39TI119,39PC501,39TI120,39TI991A,39TI993A,39CKHGINORTH.B,39CKHGISOUTH.B,39TX190
30-07-2020 00:50,0,0,0,4.399177893,0.004329857,4.705947857,0.175839189,0.484004234,0.440416717,26.98449629,62.10139337,0.035459684,0.004808612,0.001294785,0.279870312,0.045403656,0.544839634,0.863704323,2.153956241,0.335945555,0.471626258,9.131456656,7.500750595,0.004705947,8.503501826,0.412990224,4.866783744,4.940572797,4.920100888,14.73348654,4.920467134,132.9842384,49.2131081,0,36.55795653,0,42.83049422,0,14.20249709,0,238.1444093,0,0,56.74990722,0.11259629,0.35487085,0.190667197,0.245623921,0.188267135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002988495,0.908700413,0,6.701186762,0,0,0.439592708,0,0,0.472897632,2.078892845,4.28E-08,0.717619068,1.123813184,0.029710664,0,0,0.09225172,0.050583616,0,0.807524652,3.788438813,0.117972623,0.071995952,4.991712158,15.48069602,0,0,0.777906335
30-07-2020 00:55,0,0,0,4.667551903,0.003941582,4.939685596,0.172843614,0.285093735,0.444343542,44.63299379,105.8612272,0.027887724,0.048042086,0.000817307,0.262420237,0.039539762,0.546080585,0.584494779,2.367012137,0.337308768,0.474275297,9.247893997,7.324897129,0.004465062,8.038331431,0.32384371,5.001349471,4.354478263,4.375638072,16.07692962,4.87616192,134.5756965,50.96570498,0,35.7086067,0,46.54012754,0,14.17355245,0,203.3133737,0,0,52.23803701,0.161051816,0.28567384,0.203572405,0.1721769,0.115263346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10678647,1.015898345,0,6.409214752,0,0,0.491903659,0,0,0.503550527,1.559504215,4.28E-08,0.547568246,0.755619511,0.030278059,0,0,0.087097769,0.04889143,0,2.225772964,4.976185946,0.114289439,0.083027399,4.558850095,16.29049387,0,0,0.674621406
30-07-2020 01:00,0,0,0,4.363426691,0.003423551,4.7287615,0.157339557,0.011197628,0.123548163,44.2178908,167.8008469,0.026442344,0.06129937,0.001101791,0.259303591,0.058345632,0.57038795,0.358351178,2.804019745,0.345071067,2.111894933,9.281024782,7.060784844,0.006772135,9.221384155,0.175776013,3.794468821,4.226467747,4.186606921,16.0043133,4.151635869,135.1378265,51.39880207,0,46.65640197,0,47.33949053,0,14.69256586,0,130.9221719,0,0,55.51438341,0.189640217,0.156337584,0.167425419,0.210530196,0.064574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.290400356,1.102849038,0,6.527864938,0,0,0.509796469,0,0,0.51769307,1.121821943,4.28E-08,0.280137136,0.268311383,0.029329178,0,0,0.061019424,0.054300811,0,3.049767158,5.754081206,0.10869238,0.116544871,4.360482093,15.00195712,0,0,0.339617142
30-07-2020 01:05,0,0,0,3.775992769,0.007537335,4.120368613,0.137351573,0.015061241,0.113486234,45.12196862,252.5771849,0.027620882,0.066119854,0.001199479,0.231833151,0.066769408,0.579968298,0.69413027,2.628820233,0.367513517,2.704857661,9.081515661,6.261947414,0.008501693,7.50627635,0.206050569,2.887493943,3.719010082,3.520400536,12.95138046,2.864373886,43.51476063,55.28776649,0,54.05650828,0,41.99310947,0,13.75663531,0,110.5953558,0,0,67.48846016,0.221213631,0.281025414,0.261616236,0.230012441,0.068950552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377836974,1.040194949,0,6.329972258,0,0,0.463484984,0,0,0.578542239,1.396550881,4.28E-08,0.452561463,1.4279737,0.027528039,0,0,0.027016577,0.046851578,0,3.280987855,5.625049205,0.091154265,0.128668823,3.597130355,11.82823026,0,0,0.612441863
30-07-2020 01:10,0,0,0,3.903957727,0.008711387,4.255557112,0.114912736,0.017386237,0.084183883,60.28643125,317.3692772,0.028768421,0.060108865,0.006290729,0.23656405,0.092267985,0.578191277,0.798451732,2.36605776,0.314307703,2.965366981,8.286303198,7.247682837,0.008533395,5.811599329,0.18886913,2.914298487,2.737843458,2.602049917,9.335542156,3.680037153,40.36918696,54.24068339,0,47.94920661,0,48.7322534,0,8.962560444,0,148.5541966,0,0,67.36143851,0.232614462,0.3068393,0.340988868,0.246305078,0.072817873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146942382,0.914621496,0,5.881728274,0,0,0.455721032,0,0,0.559608881,1.301049098,4.28E-08,0.491451148,2.096900721,0.027926947,0,0,0.028402016,0.040708194,0,2.828450244,4.833689503,0.078493882,0.125747471,2.73427282,7.53909056,0,0,0.791551197
30-07-2020 01:15,0,0,0,4.381337526,0.009777248,4.992883869,0.10519514,0.021103497,0.151489048,91.08589312,363.140372,0.046824496,0.046946537,0.008548112,0.24849914,0.104833501,0.603281359,0.702426875,1.312126425,0.152571021,2.654596478,8.749953336,8.260966944,0.007254535,10.35134193,0.142210027,3.439364266,2.448608792,2.35440879,5.904339226,4.341504072,70.65066245,52.86397132,0,38.13809058,0,53.57070486,0,5.568957013,0,157.2732953,0,0,73.35802675,0.190488344,0.291289126,0.343124605,0.262690747,0.077070244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959897726,0.743163055,0,5.980170867,0,0,0.376269525,0,0,0.578197512,1.313168977,4.28E-08,0.409066363,2.600370579,0.027880745,0,0,0.029663628,0.043196539,0,3.089266661,3.424055811,0.089724791,0.1065504,2.389377233,5.01175265,0,0,0.818942449
30-07-2020 01:20,0,0,0,5.335123315,0.017706866,5.97601408,0.092941137,0.024997067,0.548280524,114.849443,332.4161025,0.053196509,0.012022491,0.009530493,0.238772532,0.09278029,0.642615163,0.778695679,1.010247512,0.200300436,2.170028584,9.571966208,9.455817279,0.005961437,12.94604667,0.197374656,4.276819954,2.602404591,2.507278336,4.72855566,4.025539615,122.3732881,57.13526227,0,38.42647699,0,53.08595263,0,4.803056556,0,149.3932671,0,0,61.36861648,0.128816932,0.432081897,0.430598887,0.259227869,0.069941287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167900225,0.696256981,0,5.766920793,0,0,0.394568049,0,0,0.600543623,1.148671174,0.004059073,0.407849164,2.884470332,0.025898623,0,0,0.057426937,0.045423211,0,2.409585729,2.814972261,0.104426504,0.056367988,2.391778823,4.618005319,0,0,0.85442206
30-07-2020 01:25,0,0,0,5.097262029,0.021844811,5.786061415,0.084735558,0.027898661,0.630389102,102.9384662,319.2086593,0.051932074,0.045203842,0.008860983,0.264865457,0.104499711,0.633386841,0.726286637,0.811688525,0.233138035,1.334101235,10.11577408,9.263420003,0.003497887,14.5381359,0.231648887,4.123137141,2.565319184,2.512834231,4.568260927,3.535137906,192.3666984,54.84256175,0,52.25099687,0,58.40921276,0,2.602865453,0,150.672949,0,0,59.76961919,0.142964365,0.449116568,0.48518648,0.2709068,0.042475221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09441876,0.593152233,0,5.854729909,0,0,0.304397533,0,0,0.58423212,0.76316889,0.005471937,0.402170326,2.741796841,0.023630042,0,0,0.084657168,0.044847909,0,1.966098997,2.997677429,0.108939368,0.002552613,2.379912835,4.575957458,0,0,0.76764387
30-07-2020 01:30,0,0,0,4.940348784,0.023873317,5.498442733,0.087341933,0.032769696,0.631567786,92.13992609,323.8944123,0.044695182,0.05450427,0.007511409,0.283871059,0.132513997,0.747038243,0.51187983,0.712356111,0.290298527,1.405487851,10.68861642,9.325570924,0.003428568,12.93195433,0.24968272,3.916931813,2.479116078,2.43947872,4.266907136,3.215918518,255.7880663,53.55583245,0,53.30498749,0,47.29412511,0,10.98725614,0,158.5411894,0,0,53.95637274,0.154675328,0.373175159,0.425501503,0.235840986,0.020957139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912245541,0.282004798,0,5.649575518,0,0,0.267280941,0,0,0.662998838,0.240988481,0.00595709,0.393561441,1.813712812,0.021460511,0,0,0.099200921,0.042267987,0,1.853655911,2.637190876,0.099703523,0.003441115,2.17332563,3.847036194,0,0,0.432842978
30-07-2020 01:35,0,0,0,4.991601681,0.021956005,5.63238015,0.071962847,0.037936836,0.632737929,57.47719726,322.3777581,0.029900602,0.054097363,0.005402495,0.313584786,0.151207463,0.728833319,0.505252495,0.37685528,0.468864893,1.205609877,11.42902162,10.52181292,0.003336217,10.69003606,0.239913531,4.071114243,2.575967587,2.55203465,2.487868695,2.818674756,271.5269443,49.50758478,0,46.62040051,0,46.85556191,0,15.47372893,0,160.0039175,0,0,42.92944853,0.160848062,0.432941397,0.51886844,0.174137844,0.017514754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850224935,1.56396183,0,5.900916564,0,0,0.325748398,0,0,0.625706042,0.235446892,0.005754178,0.344165267,1.634917217,0.018239418,0,0,0.099135339,0.039329892,0,1.605871419,2.365045414,0.10815068,0.003746211,2.498349748,2.717269642,0,0,0.270789268
