Time,onlineDrum,cycleTime_hrs,Hgi_Pred_hour0
01-08-2020 12:00,South,2.75,52.52374426649314
01-08-2020 11:55,South,2.67,52.61508832265344
01-08-2020 11:50,South,2.58,52.68371821887497
01-08-2020 11:45,South,2.5,52.7793464924894
